"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count"
"2";"79";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Kay Guascoine I came on here to say exactly that 😁";"2022-09-28T22:48:54+0000";"2";"0"
"2";"80";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Love this series !!!!";"2022-09-28T23:47:04+0000";"1";"0"
"2";"81";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"https://www.facebook.com/عالم-الحيوانات-110083548528348/";"2022-09-29T00:05:38+0000";"0";"0"
"2";"82";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Is this going to be coming on tv any time soon?";"2022-09-29T00:25:06+0000";"1";"0"
"2";"83";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"143000            CHECK MY IMDB";"2022-09-29T00:44:56+0000";"0";"0"
"2";"84";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"This was so good. I love the whole series.";"2022-09-29T01:54:06+0000";"1";"0"
"2";"85";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Helen Bonham carter is fabulous in anything she does";"2022-09-29T03:19:31+0000";"2";"0"
"2";"86";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"King Charles III Won’t be Coronated Until 2023 Because the British UK Loves to CopyCat Everything that the USA America Does ....";"2022-09-29T05:18:26+0000";"1";"0"
"2";"87";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"This series was so funny and this episode with the toilet scene!";"2022-09-29T06:41:25+0000";"1";"0"
"2";"88";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Love this series, and have watched it many times. It takes me to a happy space every time!😊";"2022-09-29T07:31:13+0000";"0";"0"
"2";"89";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Abbie Hughes";"2022-09-29T08:18:44+0000";"0";"1"
"2";"90";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Lauren Dowdeswell case and point! But mildly disturbing";"2022-09-29T08:21:16+0000";"1";"0"
"2";"91";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Yes ... such a great series";"2022-09-29T08:35:16+0000";"0";"0"
"2";"92";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Dottie Simon 🤣";"2022-09-29T13:26:53+0000";"0";"0"
"2";"93";"10";"1143803202301544_630762878411331";"offcut";"";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"";"";"";""
"2";"94";"11";"1143803202301544_630591745095111";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.820236";"Facebook:/<post-id>/comments";"Long live the King😁🇬🇧";"2022-09-28T17:31:32+0000";"1";"0"
"2";"95";"11";"1143803202301544_630591745095111";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.820236";"Facebook:/<post-id>/comments";"It's you, now holding Charles name, as king";"2022-09-28T17:35:34+0000";"1";"0"
"2";"96";"11";"1143803202301544_630591745095111";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.820236";"Facebook:/<post-id>/comments";"Rip her majesty'";"2022-09-28T17:45:31+0000";"5";"0"
"2";"97";"11";"1143803202301544_630591745095111";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.820236";"Facebook:/<post-id>/comments";"But when is he returning our stolen minerals in SA ?";"2022-09-28T17:46:18+0000";"1";"0"
"2";"98";"11";"1143803202301544_630591745095111";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.820236";"Facebook:/<post-id>/comments";"This is who should be on the coin. Long live the real Queen of England.";"2022-09-28T17:51:21+0000";"1";"1"
